task_id,period_start,period_end,first_ai_request_at,resolution_at,num_ai_calls,num_escalations,resolution_time_sec,outcome_quality_score
task_99,2025-01-29,2025-01-29,2025-01-29T00:00:00,2025-01-29T01:12:00,4,1,4320,0.607
task_100,2025-01-27,2025-01-27,2025-01-27T00:00:00,2025-01-27T00:35:00,1,0,2100,0.532
task_101,2025-01-03,2025-01-03,2025-01-03T00:00:00,2025-01-03T01:19:00,4,1,4740,0.641
task_102,2025-02-12,2025-02-12,2025-02-12T00:00:00,2025-02-12T01:14:00,4,1,4440,0.832
task_103,2025-01-06,2025-01-06,2025-01-06T00:00:00,2025-01-06T00:53:00,2,0,3180,0.428
task_104,2025-01-08,2025-01-08,2025-01-08T00:00:00,2025-01-08T01:46:00,4,0,6360,0.903
task_105,2025-02-17,2025-02-17,2025-02-17T00:00:00,2025-02-17T00:50:00,2,0,3000,0.409
task_106,2025-02-16,2025-02-16,2025-02-16T00:00:00,2025-02-16T00:47:00,3,1,2820,0.493
task_107,2025-02-10,2025-02-10,2025-02-10T00:00:00,2025-02-10T00:47:00,4,2,2820,0.763
task_108,2025-01-16,2025-01-16,2025-01-16T00:00:00,2025-01-16T01:02:00,2,1,3720,0.565
task_109,2025-02-06,2025-02-06,2025-02-06T00:00:00,2025-02-06T00:57:00,1,1,3420,0.892
task_110,2025-02-27,2025-02-27,2025-02-27T00:00:00,2025-02-27T00:34:00,1,0,2040,0.499
task_111,2025-01-11,2025-01-11,2025-01-11T00:00:00,2025-01-11T01:06:00,2,0,3960,0.712
task_112,2025-02-19,2025-02-19,2025-02-19T00:00:00,2025-02-19T02:21:00,4,2,8460,0.933
task_113,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T00:53:00,3,1,3180,0.459
task_114,2025-02-08,2025-02-08,2025-02-08T00:00:00,2025-02-08T01:07:00,3,1,4020,0.875
task_115,2025-01-31,2025-01-31,2025-01-31T00:00:00,2025-01-31T00:39:00,1,0,2340,0.599
task_116,2025-03-02,2025-03-02,2025-03-02T00:00:00,2025-03-02T01:32:00,4,2,5520,0.583
task_117,2025-01-12,2025-01-12,2025-01-12T00:00:00,2025-01-12T01:24:00,1,0,5040,0.924
task_118,2025-02-13,2025-02-13,2025-02-13T00:00:00,2025-02-13T01:45:00,4,1,6300,0.477
task_119,2025-02-09,2025-02-09,2025-02-09T00:00:00,2025-02-09T00:25:00,1,1,1500,0.710
task_120,2025-02-02,2025-02-02,2025-02-02T00:00:00,2025-02-02T00:43:00,2,0,2580,0.645
task_121,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T01:45:00,4,1,6300,0.831
task_122,2025-02-21,2025-02-21,2025-02-21T00:00:00,2025-02-21T01:55:00,4,1,6900,0.746
task_123,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T01:31:00,4,0,5460,0.736
task_124,2025-02-10,2025-02-10,2025-02-10T00:00:00,2025-02-10T00:55:00,2,0,3300,0.705
task_125,2025-02-01,2025-02-01,2025-02-01T00:00:00,2025-02-01T01:27:00,4,1,5220,0.777
task_126,2025-01-28,2025-01-28,2025-01-28T00:00:00,2025-01-28T01:15:00,1,0,4500,0.805
task_127,2025-01-29,2025-01-29,2025-01-29T00:00:00,2025-01-29T00:43:00,1,0,2580,0.827
task_128,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T01:01:00,2,0,3660,0.847
task_129,2025-02-20,2025-02-20,2025-02-20T00:00:00,2025-02-20T00:48:00,4,2,2880,0.905
task_130,2025-02-24,2025-02-24,2025-02-24T00:00:00,2025-02-24T00:43:00,1,1,2580,0.802
task_131,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T01:20:00,3,3,4800,0.586
task_132,2025-01-11,2025-01-11,2025-01-11T00:00:00,2025-01-11T01:06:00,3,0,3960,0.451
task_133,2025-01-15,2025-01-15,2025-01-15T00:00:00,2025-01-15T02:00:00,4,1,7200,0.405
task_134,2025-01-10,2025-01-10,2025-01-10T00:00:00,2025-01-10T01:51:00,4,1,6660,0.739
task_135,2025-02-20,2025-02-20,2025-02-20T00:00:00,2025-02-20T01:22:00,2,1,4920,0.672
task_136,2025-02-19,2025-02-19,2025-02-19T00:00:00,2025-02-19T00:39:00,1,0,2340,0.409
task_137,2025-02-10,2025-02-10,2025-02-10T00:00:00,2025-02-10T00:52:00,4,0,3120,0.633
task_138,2025-02-15,2025-02-15,2025-02-15T00:00:00,2025-02-15T00:55:00,2,0,3300,0.786
task_139,2025-01-17,2025-01-17,2025-01-17T00:00:00,2025-01-17T00:56:00,1,1,3360,0.673
task_140,2025-01-17,2025-01-17,2025-01-17T00:00:00,2025-01-17T00:09:00,1,0,540,0.892
task_141,2025-01-24,2025-01-24,2025-01-24T00:00:00,2025-01-24T01:28:00,4,1,5280,0.906
task_142,2025-01-30,2025-01-30,2025-01-30T00:00:00,2025-01-30T01:09:00,1,0,4140,0.603
task_143,2025-01-13,2025-01-13,2025-01-13T00:00:00,2025-01-13T00:45:00,2,0,2700,0.483
task_144,2025-02-01,2025-02-01,2025-02-01T00:00:00,2025-02-01T01:01:00,1,0,3660,0.935
task_145,2025-02-27,2025-02-27,2025-02-27T00:00:00,2025-02-27T00:49:00,3,0,2940,0.652
task_146,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T00:41:00,1,0,2460,0.485
task_147,2025-01-14,2025-01-14,2025-01-14T00:00:00,2025-01-14T01:31:00,4,1,5460,0.570
task_148,2025-01-30,2025-01-30,2025-01-30T00:00:00,2025-01-30T00:44:00,1,0,2640,0.842
task_149,2025-01-24,2025-01-24,2025-01-24T00:00:00,2025-01-24T01:03:00,1,0,3780,0.720
task_150,2025-01-06,2025-01-06,2025-01-06T00:00:00,2025-01-06T01:46:00,3,3,6360,0.467
task_151,2025-02-09,2025-02-09,2025-02-09T00:00:00,2025-02-09T01:08:00,2,1,4080,0.756
task_152,2025-02-20,2025-02-20,2025-02-20T00:00:00,2025-02-20T00:37:00,1,1,2220,0.944
task_153,2025-01-18,2025-01-18,2025-01-18T00:00:00,2025-01-18T00:32:00,2,0,1920,0.414
task_154,2025-02-22,2025-02-22,2025-02-22T00:00:00,2025-02-22T01:02:00,1,0,3720,0.820
task_155,2025-02-14,2025-02-14,2025-02-14T00:00:00,2025-02-14T01:18:00,3,2,4680,0.903
task_156,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T01:04:00,2,0,3840,0.905
task_157,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T01:03:00,3,1,3780,0.577
task_158,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T01:24:00,2,0,5040,0.752
task_159,2025-01-17,2025-01-17,2025-01-17T00:00:00,2025-01-17T01:22:00,2,0,4920,0.537
task_160,2025-02-04,2025-02-04,2025-02-04T00:00:00,2025-02-04T00:45:00,4,1,2700,0.456
task_161,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T00:30:00,2,0,1800,0.936
task_162,2025-02-22,2025-02-22,2025-02-22T00:00:00,2025-02-22T01:35:00,4,1,5700,0.510
task_163,2025-02-06,2025-02-06,2025-02-06T00:00:00,2025-02-06T01:19:00,1,0,4740,0.483
task_164,2025-01-15,2025-01-15,2025-01-15T00:00:00,2025-01-15T00:43:00,1,1,2580,0.862
task_165,2025-01-26,2025-01-26,2025-01-26T00:00:00,2025-01-26T01:02:00,1,1,3720,0.676
task_166,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T00:52:00,1,0,3120,0.633
task_167,2025-02-28,2025-02-28,2025-02-28T00:00:00,2025-02-28T01:02:00,1,0,3720,0.448
task_168,2025-02-20,2025-02-20,2025-02-20T00:00:00,2025-02-20T01:52:00,4,2,6720,0.462
task_169,2025-01-04,2025-01-04,2025-01-04T00:00:00,2025-01-04T02:04:00,4,2,7440,0.906
task_170,2025-02-22,2025-02-22,2025-02-22T00:00:00,2025-02-22T00:11:00,1,1,660,0.683
task_171,2025-01-13,2025-01-13,2025-01-13T00:00:00,2025-01-13T01:11:00,2,1,4260,0.860
task_172,2025-02-01,2025-02-01,2025-02-01T00:00:00,2025-02-01T01:34:00,4,0,5640,0.498
task_173,2025-02-08,2025-02-08,2025-02-08T00:00:00,2025-02-08T01:32:00,3,1,5520,0.792
task_174,2025-01-07,2025-01-07,2025-01-07T00:00:00,2025-01-07T02:25:00,4,1,8700,0.435
task_175,2025-02-22,2025-02-22,2025-02-22T00:00:00,2025-02-22T00:53:00,2,1,3180,0.589
task_176,2025-01-17,2025-01-17,2025-01-17T00:00:00,2025-01-17T01:26:00,2,0,5160,0.921
task_177,2025-01-31,2025-01-31,2025-01-31T00:00:00,2025-01-31T00:55:00,1,0,3300,0.877
task_178,2025-01-27,2025-01-27,2025-01-27T00:00:00,2025-01-27T00:28:00,1,0,1680,0.879
task_179,2025-02-25,2025-02-25,2025-02-25T00:00:00,2025-02-25T01:29:00,2,0,5340,0.828
task_180,2025-02-01,2025-02-01,2025-02-01T00:00:00,2025-02-01T00:23:00,1,1,1380,0.471
task_181,2025-01-13,2025-01-13,2025-01-13T00:00:00,2025-01-13T01:15:00,3,0,4500,0.923
task_182,2025-02-16,2025-02-16,2025-02-16T00:00:00,2025-02-16T01:09:00,3,1,4140,0.639
task_183,2025-01-17,2025-01-17,2025-01-17T00:00:00,2025-01-17T00:56:00,1,0,3360,0.727
task_184,2025-01-08,2025-01-08,2025-01-08T00:00:00,2025-01-08T01:07:00,3,0,4020,0.661
task_185,2025-01-13,2025-01-13,2025-01-13T00:00:00,2025-01-13T00:28:00,3,1,1680,0.857
task_186,2025-02-16,2025-02-16,2025-02-16T00:00:00,2025-02-16T00:20:00,1,0,1200,0.898
task_187,2025-02-25,2025-02-25,2025-02-25T00:00:00,2025-02-25T01:03:00,1,0,3780,0.869
task_188,2025-02-12,2025-02-12,2025-02-12T00:00:00,2025-02-12T01:32:00,2,1,5520,0.581
task_189,2025-02-11,2025-02-11,2025-02-11T00:00:00,2025-02-11T01:39:00,2,1,5940,0.462
task_190,2025-02-26,2025-02-26,2025-02-26T00:00:00,2025-02-26T01:02:00,2,1,3720,0.666
task_191,2025-02-14,2025-02-14,2025-02-14T00:00:00,2025-02-14T00:36:00,1,0,2160,0.638
task_192,2025-02-27,2025-02-27,2025-02-27T00:00:00,2025-02-27T00:23:00,1,0,1380,0.406
task_193,2025-01-18,2025-01-18,2025-01-18T00:00:00,2025-01-18T00:59:00,1,0,3540,0.679
task_194,2025-01-29,2025-01-29,2025-01-29T00:00:00,2025-01-29T00:35:00,1,1,2100,0.871
task_195,2025-01-27,2025-01-27,2025-01-27T00:00:00,2025-01-27T00:47:00,1,0,2820,0.706
task_196,2025-02-12,2025-02-12,2025-02-12T00:00:00,2025-02-12T01:00:00,4,1,3600,0.923
task_197,2025-02-09,2025-02-09,2025-02-09T00:00:00,2025-02-09T01:35:00,2,0,5700,0.503
task_198,2025-02-02,2025-02-02,2025-02-02T00:00:00,2025-02-02T01:20:00,2,1,4800,0.930
task_199,2025-02-08,2025-02-08,2025-02-08T00:00:00,2025-02-08T01:18:00,3,0,4680,0.677
task_200,2025-02-28,2025-02-28,2025-02-28T00:00:00,2025-02-28T01:08:00,2,1,4080,0.940
