request_id,user_id,task_id,session_id,task_type,model_version,prompt_template_id,treatment_arm,response_tokens,latency_ms,action_type,outcome_quality_score,created_at
task_9_req_1,user_4,task_9,session_9,drafting,gpt-x.y,triage_v1,control,61,1499,escalate,0.555,2025-01-10T00:44:00
task_9_req_2,user_1,task_9,session_9,summarisation,gpt-x.y,triage_v1,explanation,163,467,ignore,0.555,2025-01-10T00:50:00
task_10_req_0,user_45,task_10,session_10,drafting,gpt-x.y,triage_v1,control,199,1317,accept,0.462,2025-01-28T00:27:00
task_11_req_0,user_24,task_11,session_11,triage,gpt-x.y,triage_v1,control,76,932,edit,0.423,2025-01-28T00:22:00
task_11_req_1,user_23,task_11,session_11,triage,gpt-x.y,triage_v1,explanation,91,1471,edit,0.423,2025-01-28T00:52:00
task_12_req_0,user_48,task_12,session_12,triage,gpt-x.y,triage_v1,explanation,77,1043,edit,0.414,2025-02-26T00:09:00
task_12_req_1,user_25,task_12,session_12,drafting,gpt-x.y,triage_v1,control,139,1163,edit,0.414,2025-02-26T00:16:00
task_12_req_2,user_20,task_12,session_12,triage,gpt-x.y,triage_v1,control,152,656,accept,0.414,2025-02-26T00:38:00
task_12_req_3,user_22,task_12,session_12,summarisation,gpt-x.y,triage_v1,explanation,180,342,ignore,0.414,2025-02-26T00:50:00
task_13_req_0,user_8,task_13,session_13,triage,gpt-x.y,triage_v1,explanation,161,565,ignore,0.917,2025-02-23T00:02:00
task_13_req_1,user_23,task_13,session_13,summarisation,gpt-x.y,triage_v1,explanation,98,1093,accept,0.917,2025-02-23T00:15:00
task_13_req_2,user_17,task_13,session_13,summarisation,gpt-x.y,triage_v1,control,100,1093,accept,0.917,2025-02-23T00:32:00
task_14_req_0,user_43,task_14,session_14,drafting,gpt-x.y,triage_v1,control,133,815,ignore,0.743,2025-01-05T00:22:00
task_14_req_1,user_26,task_14,session_14,drafting,gpt-x.y,triage_v1,explanation,147,1335,edit,0.743,2025-01-05T00:29:00
task_14_req_2,user_44,task_14,session_14,summarisation,gpt-x.y,triage_v1,control,50,1460,ignore,0.743,2025-01-05T00:42:00
task_15_req_0,user_39,task_15,session_15,summarisation,gpt-x.y,triage_v1,explanation,104,1152,escalate,0.832,2025-01-14T00:15:00
task_15_req_1,user_33,task_15,session_15,summarisation,gpt-x.y,triage_v1,explanation,135,547,accept,0.832,2025-01-14T00:25:00
task_15_req_2,user_6,task_15,session_15,triage,gpt-x.y,triage_v1,control,87,835,edit,0.832,2025-01-14T00:51:00
task_15_req_3,user_2,task_15,session_15,triage,gpt-x.y,triage_v1,control,166,701,escalate,0.832,2025-01-14T01:11:00
task_16_req_0,user_25,task_16,session_16,summarisation,gpt-x.y,triage_v1,explanation,51,1018,edit,0.795,2025-02-06T00:05:00
task_16_req_1,user_49,task_16,session_16,summarisation,gpt-x.y,triage_v1,control,182,1070,edit,0.795,2025-02-06T00:11:00
task_17_req_0,user_8,task_17,session_17,summarisation,gpt-x.y,triage_v1,explanation,193,473,escalate,0.905,2025-02-05T00:22:00
task_17_req_1,user_39,task_17,session_17,summarisation,gpt-x.y,triage_v1,explanation,164,1106,escalate,0.905,2025-02-05T00:49:00
task_18_req_0,user_49,task_18,session_18,triage,gpt-x.y,triage_v1,control,120,767,escalate,0.648,2025-02-25T00:21:00
task_18_req_1,user_29,task_18,session_18,drafting,gpt-x.y,triage_v1,control,131,785,edit,0.648,2025-02-25T00:30:00
task_18_req_2,user_35,task_18,session_18,drafting,gpt-x.y,triage_v1,control,89,483,edit,0.648,2025-02-25T00:38:00
task_18_req_3,user_46,task_18,session_18,drafting,gpt-x.y,triage_v1,control,188,331,escalate,0.648,2025-02-25T00:52:00
task_19_req_0,user_25,task_19,session_19,triage,gpt-x.y,triage_v1,control,140,1379,escalate,0.858,2025-01-04T00:16:00
task_19_req_1,user_20,task_19,session_19,triage,gpt-x.y,triage_v1,explanation,119,1058,edit,0.858,2025-01-04T00:32:00
task_20_req_0,user_44,task_20,session_20,triage,gpt-x.y,triage_v1,explanation,186,538,escalate,0.585,2025-01-02T00:30:00
task_20_req_1,user_2,task_20,session_20,summarisation,gpt-x.y,triage_v1,explanation,159,1412,accept,0.585,2025-01-02T00:33:00
task_20_req_2,user_9,task_20,session_20,drafting,gpt-x.y,triage_v1,explanation,133,572,accept,0.585,2025-01-02T00:42:00
task_20_req_3,user_14,task_20,session_20,drafting,gpt-x.y,triage_v1,explanation,121,869,ignore,0.585,2025-01-02T01:07:00
task_21_req_0,user_48,task_21,session_21,triage,gpt-x.y,triage_v1,control,60,916,edit,0.659,2025-01-17T00:21:00
task_22_req_0,user_2,task_22,session_22,summarisation,gpt-x.y,triage_v1,control,79,688,edit,0.510,2025-03-02T00:16:00
task_22_req_1,user_37,task_22,session_22,drafting,gpt-x.y,triage_v1,control,92,1152,ignore,0.510,2025-03-02T00:41:00
task_23_req_0,user_11,task_23,session_23,drafting,gpt-x.y,triage_v1,explanation,197,421,accept,0.828,2025-02-17T00:30:00
task_24_req_0,user_45,task_24,session_24,summarisation,gpt-x.y,triage_v1,control,80,408,ignore,0.442,2025-01-26T00:28:00
task_24_req_1,user_37,task_24,session_24,drafting,gpt-x.y,triage_v1,control,67,911,escalate,0.442,2025-01-26T00:50:00
task_25_req_0,user_32,task_25,session_25,drafting,gpt-x.y,triage_v1,control,89,1087,ignore,0.867,2025-01-22T00:21:00
task_26_req_0,user_35,task_26,session_26,summarisation,gpt-x.y,triage_v1,explanation,118,1152,escalate,0.739,2025-02-16T00:27:00
task_26_req_1,user_21,task_26,session_26,drafting,gpt-x.y,triage_v1,control,112,377,ignore,0.739,2025-02-16T00:56:00
task_26_req_2,user_49,task_26,session_26,triage,gpt-x.y,triage_v1,explanation,176,1367,escalate,0.739,2025-02-16T01:07:00
task_27_req_0,user_17,task_27,session_27,triage,gpt-x.y,triage_v1,explanation,182,772,ignore,0.517,2025-01-12T00:18:00
task_27_req_1,user_13,task_27,session_27,summarisation,gpt-x.y,triage_v1,control,111,694,escalate,0.517,2025-01-12T00:34:00
task_27_req_2,user_45,task_27,session_27,triage,gpt-x.y,triage_v1,explanation,73,1205,escalate,0.517,2025-01-12T01:00:00
task_27_req_3,user_19,task_27,session_27,summarisation,gpt-x.y,triage_v1,control,198,1028,edit,0.517,2025-01-12T01:10:00
task_28_req_0,user_48,task_28,session_28,drafting,gpt-x.y,triage_v1,explanation,114,920,escalate,0.634,2025-02-05T00:09:00
task_28_req_1,user_15,task_28,session_28,summarisation,gpt-x.y,triage_v1,control,187,594,ignore,0.634,2025-02-05T00:13:00
task_28_req_2,user_49,task_28,session_28,drafting,gpt-x.y,triage_v1,control,120,592,edit,0.634,2025-02-05T00:37:00
task_29_req_0,user_13,task_29,session_29,drafting,gpt-x.y,triage_v1,explanation,53,665,ignore,0.939,2025-02-18T00:06:00
task_29_req_1,user_46,task_29,session_29,summarisation,gpt-x.y,triage_v1,control,124,761,accept,0.939,2025-02-18T00:08:00
task_29_req_2,user_45,task_29,session_29,triage,gpt-x.y,triage_v1,control,196,1205,accept,0.939,2025-02-18T00:36:00
task_30_req_0,user_4,task_30,session_30,triage,gpt-x.y,triage_v1,explanation,152,1178,accept,0.587,2025-01-31T00:27:00
task_30_req_1,user_32,task_30,session_30,triage,gpt-x.y,triage_v1,control,194,1381,accept,0.587,2025-01-31T00:32:00
task_30_req_2,user_20,task_30,session_30,drafting,gpt-x.y,triage_v1,control,107,708,accept,0.587,2025-01-31T00:50:00
task_30_req_3,user_50,task_30,session_30,summarisation,gpt-x.y,triage_v1,explanation,159,1122,escalate,0.587,2025-01-31T01:00:00
task_31_req_0,user_48,task_31,session_31,summarisation,gpt-x.y,triage_v1,control,70,625,edit,0.735,2025-02-09T00:09:00
task_32_req_0,user_27,task_32,session_32,triage,gpt-x.y,triage_v1,explanation,109,1416,escalate,0.486,2025-01-12T00:10:00
task_33_req_0,user_15,task_33,session_33,triage,gpt-x.y,triage_v1,explanation,189,1480,edit,0.439,2025-01-19T00:14:00
task_33_req_1,user_15,task_33,session_33,triage,gpt-x.y,triage_v1,control,92,744,edit,0.439,2025-01-19T00:17:00
task_33_req_2,user_20,task_33,session_33,summarisation,gpt-x.y,triage_v1,explanation,127,1099,accept,0.439,2025-01-19T00:32:00
task_33_req_3,user_45,task_33,session_33,triage,gpt-x.y,triage_v1,explanation,60,757,escalate,0.439,2025-01-19T00:47:00
task_34_req_0,user_15,task_34,session_34,triage,gpt-x.y,triage_v1,control,170,751,accept,0.414,2025-01-21T00:25:00
task_34_req_1,user_34,task_34,session_34,drafting,gpt-x.y,triage_v1,explanation,175,769,edit,0.414,2025-01-21T00:44:00
task_34_req_2,user_6,task_34,session_34,drafting,gpt-x.y,triage_v1,explanation,76,912,escalate,0.414,2025-01-21T00:55:00
task_35_req_0,user_19,task_35,session_35,triage,gpt-x.y,triage_v1,explanation,130,1326,accept,0.782,2025-01-22T00:15:00
task_35_req_1,user_17,task_35,session_35,summarisation,gpt-x.y,triage_v1,explanation,50,437,escalate,0.782,2025-01-22T00:43:00
task_35_req_2,user_43,task_35,session_35,summarisation,gpt-x.y,triage_v1,explanation,142,1046,accept,0.782,2025-01-22T00:50:00
task_35_req_3,user_40,task_35,session_35,triage,gpt-x.y,triage_v1,explanation,102,1480,escalate,0.782,2025-01-22T01:15:00
task_36_req_0,user_45,task_36,session_36,summarisation,gpt-x.y,triage_v1,explanation,111,448,accept,0.641,2025-01-09T00:21:00
task_36_req_1,user_46,task_36,session_36,drafting,gpt-x.y,triage_v1,control,73,836,accept,0.641,2025-01-09T00:39:00
task_36_req_2,user_15,task_36,session_36,triage,gpt-x.y,triage_v1,control,177,1145,accept,0.641,2025-01-09T01:00:00
task_37_req_0,user_31,task_37,session_37,triage,gpt-x.y,triage_v1,explanation,148,699,escalate,0.629,2025-02-02T00:18:00
task_37_req_1,user_13,task_37,session_37,drafting,gpt-x.y,triage_v1,control,137,342,ignore,0.629,2025-02-02T00:43:00
task_37_req_2,user_33,task_37,session_37,drafting,gpt-x.y,triage_v1,explanation,200,205,ignore,0.629,2025-02-02T01:07:00
task_38_req_0,user_31,task_38,session_38,drafting,gpt-x.y,triage_v1,explanation,98,880,escalate,0.646,2025-02-01T00:15:00
task_38_req_1,user_45,task_38,session_38,drafting,gpt-x.y,triage_v1,control,61,1371,escalate,0.646,2025-02-01T00:23:00
task_39_req_0,user_43,task_39,session_39,summarisation,gpt-x.y,triage_v1,control,134,1214,accept,0.612,2025-01-31T00:05:00
task_39_req_1,user_7,task_39,session_39,summarisation,gpt-x.y,triage_v1,explanation,86,404,escalate,0.612,2025-01-31T00:06:00
task_39_req_2,user_27,task_39,session_39,drafting,gpt-x.y,triage_v1,control,136,353,escalate,0.612,2025-01-31T00:32:00
task_39_req_3,user_40,task_39,session_39,summarisation,gpt-x.y,triage_v1,explanation,186,364,ignore,0.612,2025-01-31T01:00:00
task_40_req_0,user_3,task_40,session_40,summarisation,gpt-x.y,triage_v1,control,73,680,ignore,0.880,2025-02-10T00:08:00
task_40_req_1,user_28,task_40,session_40,triage,gpt-x.y,triage_v1,control,126,1497,accept,0.880,2025-02-10T00:23:00
task_40_req_2,user_2,task_40,session_40,drafting,gpt-x.y,triage_v1,control,145,864,accept,0.880,2025-02-10T00:33:00
task_40_req_3,user_28,task_40,session_40,summarisation,gpt-x.y,triage_v1,control,96,700,escalate,0.880,2025-02-10T00:52:00
task_41_req_0,user_16,task_41,session_41,drafting,gpt-x.y,triage_v1,explanation,115,1394,edit,0.741,2025-01-06T00:08:00
task_41_req_1,user_30,task_41,session_41,drafting,gpt-x.y,triage_v1,explanation,189,219,escalate,0.741,2025-01-06T00:37:00
task_41_req_2,user_11,task_41,session_41,drafting,gpt-x.y,triage_v1,control,158,1104,ignore,0.741,2025-01-06T00:56:00
task_41_req_3,user_45,task_41,session_41,drafting,gpt-x.y,triage_v1,explanation,173,1135,ignore,0.741,2025-01-06T01:03:00
task_42_req_0,user_45,task_42,session_42,triage,gpt-x.y,triage_v1,explanation,194,244,escalate,0.716,2025-01-25T00:09:00
task_42_req_1,user_44,task_42,session_42,drafting,gpt-x.y,triage_v1,control,108,1441,escalate,0.716,2025-01-25T00:36:00
task_42_req_2,user_39,task_42,session_42,drafting,gpt-x.y,triage_v1,explanation,85,648,edit,0.716,2025-01-25T00:56:00
task_43_req_0,user_29,task_43,session_43,triage,gpt-x.y,triage_v1,control,73,1386,ignore,0.570,2025-02-27T00:24:00
task_44_req_0,user_9,task_44,session_44,triage,gpt-x.y,triage_v1,explanation,115,1287,ignore,0.497,2025-02-17T00:27:00
task_44_req_1,user_31,task_44,session_44,triage,gpt-x.y,triage_v1,explanation,86,893,accept,0.497,2025-02-17T00:42:00
task_44_req_2,user_49,task_44,session_44,drafting,gpt-x.y,triage_v1,control,53,1013,ignore,0.497,2025-02-17T00:45:00
task_44_req_3,user_17,task_44,session_44,summarisation,gpt-x.y,triage_v1,control,117,1131,ignore,0.497,2025-02-17T01:07:00
task_45_req_0,user_15,task_45,session_45,summarisation,gpt-x.y,triage_v1,explanation,106,251,ignore,0.460,2025-02-22T00:30:00
task_45_req_1,user_42,task_45,session_45,drafting,gpt-x.y,triage_v1,control,79,1150,ignore,0.460,2025-02-22T00:51:00
task_45_req_2,user_9,task_45,session_45,triage,gpt-x.y,triage_v1,control,74,276,ignore,0.460,2025-02-22T01:07:00
task_46_req_0,user_43,task_46,session_46,drafting,gpt-x.y,triage_v1,explanation,75,1402,edit,0.650,2025-01-09T00:29:00
task_46_req_1,user_32,task_46,session_46,drafting,gpt-x.y,triage_v1,explanation,105,772,accept,0.650,2025-01-09T00:52:00
task_46_req_2,user_29,task_46,session_46,summarisation,gpt-x.y,triage_v1,explanation,144,683,ignore,0.650,2025-01-09T00:56:00
task_46_req_3,user_35,task_46,session_46,triage,gpt-x.y,triage_v1,explanation,81,324,escalate,0.650,2025-01-09T01:05:00
task_47_req_0,user_39,task_47,session_47,triage,gpt-x.y,triage_v1,control,194,303,ignore,0.753,2025-01-06T00:08:00
task_47_req_1,user_14,task_47,session_47,triage,gpt-x.y,triage_v1,control,109,1335,edit,0.753,2025-01-06T00:27:00
task_48_req_0,user_10,task_48,session_48,triage,gpt-x.y,triage_v1,control,78,1306,ignore,0.553,2025-01-10T00:26:00
task_49_req_0,user_16,task_49,session_49,triage,gpt-x.y,triage_v1,explanation,82,232,edit,0.597,2025-01-09T00:09:00
task_50_req_0,user_31,task_50,session_50,summarisation,gpt-x.y,triage_v1,explanation,106,941,accept,0.810,2025-02-03T00:15:00
task_51_req_0,user_2,task_51,session_51,summarisation,gpt-x.y,triage_v1,control,77,1180,escalate,0.652,2025-02-16T00:14:00
task_51_req_1,user_32,task_51,session_51,summarisation,gpt-x.y,triage_v1,explanation,87,350,accept,0.652,2025-02-16T00:25:00
task_51_req_2,user_5,task_51,session_51,summarisation,gpt-x.y,triage_v1,control,185,763,ignore,0.652,2025-02-16T00:38:00
task_52_req_0,user_45,task_52,session_52,drafting,gpt-x.y,triage_v1,control,108,1329,edit,0.455,2025-02-02T00:14:00
task_52_req_1,user_27,task_52,session_52,summarisation,gpt-x.y,triage_v1,explanation,74,1128,escalate,0.455,2025-02-02T00:28:00
task_52_req_2,user_21,task_52,session_52,triage,gpt-x.y,triage_v1,explanation,171,840,ignore,0.455,2025-02-02T00:40:00
task_52_req_3,user_5,task_52,session_52,triage,gpt-x.y,triage_v1,control,145,374,accept,0.455,2025-02-02T00:54:00
task_53_req_0,user_36,task_53,session_53,summarisation,gpt-x.y,triage_v1,explanation,158,450,escalate,0.723,2025-02-05T00:12:00
task_54_req_0,user_23,task_54,session_54,summarisation,gpt-x.y,triage_v1,control,173,1383,edit,0.730,2025-01-04T00:05:00
task_54_req_1,user_15,task_54,session_54,drafting,gpt-x.y,triage_v1,control,196,917,ignore,0.730,2025-01-04T00:09:00
task_54_req_2,user_15,task_54,session_54,summarisation,gpt-x.y,triage_v1,explanation,118,1348,accept,0.730,2025-01-04T00:29:00
task_55_req_0,user_23,task_55,session_55,summarisation,gpt-x.y,triage_v1,control,152,571,edit,0.907,2025-01-18T00:19:00
task_55_req_1,user_5,task_55,session_55,summarisation,gpt-x.y,triage_v1,control,185,1496,accept,0.907,2025-01-18T00:22:00
task_55_req_2,user_14,task_55,session_55,triage,gpt-x.y,triage_v1,explanation,144,1059,escalate,0.907,2025-01-18T00:33:00
task_56_req_0,user_10,task_56,session_56,triage,gpt-x.y,triage_v1,control,119,1465,accept,0.886,2025-01-21T00:22:00
task_57_req_0,user_27,task_57,session_57,drafting,gpt-x.y,triage_v1,explanation,78,641,accept,0.734,2025-01-28T00:12:00
task_57_req_1,user_19,task_57,session_57,triage,gpt-x.y,triage_v1,explanation,151,1279,ignore,0.734,2025-01-28T00:14:00
task_57_req_2,user_39,task_57,session_57,triage,gpt-x.y,triage_v1,control,85,215,edit,0.734,2025-01-28T00:24:00
task_57_req_3,user_49,task_57,session_57,triage,gpt-x.y,triage_v1,explanation,177,792,ignore,0.734,2025-01-28T00:28:00
task_58_req_0,user_46,task_58,session_58,drafting,gpt-x.y,triage_v1,control,60,1224,ignore,0.609,2025-01-12T00:03:00
task_58_req_1,user_28,task_58,session_58,drafting,gpt-x.y,triage_v1,control,197,1141,accept,0.609,2025-01-12T00:31:00
task_59_req_0,user_26,task_59,session_59,summarisation,gpt-x.y,triage_v1,control,167,865,edit,0.559,2025-01-26T00:26:00
task_59_req_1,user_45,task_59,session_59,triage,gpt-x.y,triage_v1,explanation,112,380,escalate,0.559,2025-01-26T00:54:00
task_59_req_2,user_28,task_59,session_59,drafting,gpt-x.y,triage_v1,explanation,136,1273,accept,0.559,2025-01-26T01:07:00
task_59_req_3,user_15,task_59,session_59,summarisation,gpt-x.y,triage_v1,explanation,79,544,accept,0.559,2025-01-26T01:24:00
task_60_req_0,user_42,task_60,session_60,drafting,gpt-x.y,triage_v1,control,100,683,accept,0.593,2025-01-13T00:05:00
task_60_req_1,user_12,task_60,session_60,summarisation,gpt-x.y,triage_v1,control,176,354,edit,0.593,2025-01-13T00:30:00
task_60_req_2,user_30,task_60,session_60,summarisation,gpt-x.y,triage_v1,explanation,130,1356,ignore,0.593,2025-01-13T00:58:00
task_61_req_0,user_20,task_61,session_61,summarisation,gpt-x.y,triage_v1,explanation,68,1411,accept,0.643,2025-01-05T00:12:00
task_61_req_1,user_20,task_61,session_61,drafting,gpt-x.y,triage_v1,explanation,123,1125,accept,0.643,2025-01-05T00:14:00
task_61_req_2,user_5,task_61,session_61,summarisation,gpt-x.y,triage_v1,control,191,1459,escalate,0.643,2025-01-05T00:29:00
task_61_req_3,user_48,task_61,session_61,summarisation,gpt-x.y,triage_v1,control,171,1121,edit,0.643,2025-01-05T00:40:00
task_62_req_0,user_22,task_62,session_62,triage,gpt-x.y,triage_v1,control,162,1233,edit,0.457,2025-01-04T00:02:00
task_62_req_1,user_29,task_62,session_62,drafting,gpt-x.y,triage_v1,control,149,945,ignore,0.457,2025-01-04T00:32:00
task_62_req_2,user_27,task_62,session_62,summarisation,gpt-x.y,triage_v1,explanation,135,1424,accept,0.457,2025-01-04T00:58:00
task_62_req_3,user_5,task_62,session_62,drafting,gpt-x.y,triage_v1,explanation,88,393,escalate,0.457,2025-01-04T01:08:00
task_63_req_0,user_20,task_63,session_63,summarisation,gpt-x.y,triage_v1,explanation,146,464,accept,0.904,2025-02-07T00:10:00
task_63_req_1,user_42,task_63,session_63,summarisation,gpt-x.y,triage_v1,explanation,158,461,accept,0.904,2025-02-07T00:31:00
task_64_req_0,user_14,task_64,session_64,triage,gpt-x.y,triage_v1,explanation,89,1195,edit,0.570,2025-01-02T00:08:00
task_64_req_1,user_5,task_64,session_64,drafting,gpt-x.y,triage_v1,explanation,83,407,accept,0.570,2025-01-02T00:30:00
task_64_req_2,user_39,task_64,session_64,summarisation,gpt-x.y,triage_v1,explanation,92,515,edit,0.570,2025-01-02T00:36:00
task_65_req_0,user_47,task_65,session_65,summarisation,gpt-x.y,triage_v1,control,164,1109,ignore,0.600,2025-01-03T00:25:00
task_65_req_1,user_15,task_65,session_65,triage,gpt-x.y,triage_v1,control,144,833,escalate,0.600,2025-01-03T00:54:00
task_65_req_2,user_44,task_65,session_65,drafting,gpt-x.y,triage_v1,explanation,178,1145,ignore,0.600,2025-01-03T01:19:00
task_65_req_3,user_34,task_65,session_65,summarisation,gpt-x.y,triage_v1,explanation,85,531,edit,0.600,2025-01-03T01:45:00
task_66_req_0,user_36,task_66,session_66,triage,gpt-x.y,triage_v1,control,91,1256,accept,0.881,2025-01-04T00:10:00
task_66_req_1,user_18,task_66,session_66,drafting,gpt-x.y,triage_v1,explanation,73,1251,edit,0.881,2025-01-04T00:37:00
task_66_req_2,user_15,task_66,session_66,triage,gpt-x.y,triage_v1,explanation,151,915,accept,0.881,2025-01-04T00:51:00
task_66_req_3,user_33,task_66,session_66,drafting,gpt-x.y,triage_v1,explanation,107,682,escalate,0.881,2025-01-04T00:54:00
task_67_req_0,user_42,task_67,session_67,drafting,gpt-x.y,triage_v1,explanation,170,499,edit,0.862,2025-03-01T00:02:00
task_68_req_0,user_1,task_68,session_68,triage,gpt-x.y,triage_v1,control,190,238,ignore,0.647,2025-02-18T00:07:00
task_68_req_1,user_47,task_68,session_68,drafting,gpt-x.y,triage_v1,explanation,81,427,ignore,0.647,2025-02-18T00:15:00
task_68_req_2,user_4,task_68,session_68,triage,gpt-x.y,triage_v1,control,177,1059,escalate,0.647,2025-02-18T00:18:00
task_68_req_3,user_39,task_68,session_68,triage,gpt-x.y,triage_v1,control,124,1494,edit,0.647,2025-02-18T00:41:00
task_69_req_0,user_27,task_69,session_69,summarisation,gpt-x.y,triage_v1,control,189,375,ignore,0.532,2025-02-09T00:03:00
task_69_req_1,user_33,task_69,session_69,summarisation,gpt-x.y,triage_v1,control,149,999,escalate,0.532,2025-02-09T00:05:00
task_69_req_2,user_24,task_69,session_69,triage,gpt-x.y,triage_v1,explanation,138,233,ignore,0.532,2025-02-09T00:31:00
task_70_req_0,user_48,task_70,session_70,summarisation,gpt-x.y,triage_v1,explanation,136,473,accept,0.824,2025-02-12T00:12:00
task_71_req_0,user_31,task_71,session_71,drafting,gpt-x.y,triage_v1,control,59,476,accept,0.939,2025-01-12T00:23:00
task_71_req_1,user_19,task_71,session_71,triage,gpt-x.y,triage_v1,control,130,289,edit,0.939,2025-01-12T00:52:00
task_71_req_2,user_20,task_71,session_71,triage,gpt-x.y,triage_v1,explanation,98,1312,escalate,0.939,2025-01-12T01:01:00
task_71_req_3,user_19,task_71,session_71,triage,gpt-x.y,triage_v1,explanation,144,297,ignore,0.939,2025-01-12T01:10:00
task_72_req_0,user_25,task_72,session_72,drafting,gpt-x.y,triage_v1,explanation,144,582,escalate,0.892,2025-02-17T00:23:00
task_72_req_1,user_34,task_72,session_72,drafting,gpt-x.y,triage_v1,explanation,96,369,escalate,0.892,2025-02-17T00:26:00
task_72_req_2,user_35,task_72,session_72,drafting,gpt-x.y,triage_v1,explanation,125,857,accept,0.892,2025-02-17T00:29:00
task_72_req_3,user_20,task_72,session_72,summarisation,gpt-x.y,triage_v1,explanation,163,1434,escalate,0.892,2025-02-17T00:35:00
task_73_req_0,user_28,task_73,session_73,summarisation,gpt-x.y,triage_v1,explanation,153,317,accept,0.738,2025-01-03T00:22:00
task_73_req_1,user_24,task_73,session_73,summarisation,gpt-x.y,triage_v1,control,162,263,edit,0.738,2025-01-03T00:50:00
task_73_req_2,user_3,task_73,session_73,summarisation,gpt-x.y,triage_v1,control,143,337,edit,0.738,2025-01-03T01:15:00
task_74_req_0,user_44,task_74,session_74,triage,gpt-x.y,triage_v1,explanation,196,959,ignore,0.733,2025-03-02T00:15:00
task_75_req_0,user_18,task_75,session_75,triage,gpt-x.y,triage_v1,control,177,432,accept,0.573,2025-01-24T00:24:00
task_75_req_1,user_34,task_75,session_75,drafting,gpt-x.y,triage_v1,explanation,164,1350,accept,0.573,2025-01-24T00:33:00
task_75_req_2,user_14,task_75,session_75,triage,gpt-x.y,triage_v1,explanation,68,1205,edit,0.573,2025-01-24T00:37:00
task_75_req_3,user_29,task_75,session_75,summarisation,gpt-x.y,triage_v1,control,131,1111,accept,0.573,2025-01-24T01:03:00
task_76_req_0,user_19,task_76,session_76,drafting,gpt-x.y,triage_v1,explanation,180,522,edit,0.702,2025-02-15T00:26:00
task_77_req_0,user_32,task_77,session_77,summarisation,gpt-x.y,triage_v1,control,83,939,ignore,0.530,2025-01-13T00:15:00
task_77_req_1,user_40,task_77,session_77,summarisation,gpt-x.y,triage_v1,control,172,334,ignore,0.530,2025-01-13T00:28:00
task_78_req_0,user_5,task_78,session_78,drafting,gpt-x.y,triage_v1,control,182,849,accept,0.853,2025-02-19T00:15:00
task_78_req_1,user_23,task_78,session_78,triage,gpt-x.y,triage_v1,control,160,1329,edit,0.853,2025-02-19T00:40:00
task_78_req_2,user_33,task_78,session_78,triage,gpt-x.y,triage_v1,control,91,454,edit,0.853,2025-02-19T00:50:00
task_78_req_3,user_21,task_78,session_78,triage,gpt-x.y,triage_v1,control,114,908,ignore,0.853,2025-02-19T01:18:00
task_79_req_0,user_20,task_79,session_79,summarisation,gpt-x.y,triage_v1,control,89,1229,edit,0.469,2025-02-05T00:19:00
task_79_req_1,user_11,task_79,session_79,triage,gpt-x.y,triage_v1,explanation,70,1354,accept,0.469,2025-02-05T00:46:00
